Save 182 - Episode 1202/1400, Score: -104.0 (0.01), AVG Score: -102.69
Save 183 - Episode 1203/1400, Score: -105.0 (0.01), AVG Score: -102.62
Save 184 - Episode 1204/1400, Score: -98.0 (0.01), AVG Score: -102.68
Save 185 - Episode 1205/1400, Score: -99.0 (0.01), AVG Score: -102.58
Save 186 - Episode 1206/1400, Score: -106.0 (0.01), AVG Score: -102.62
Save 187 - Episode 1207/1400, Score: -88.0 (0.01), AVG Score: -102.45
Save 188 - Episode 1208/1400, Score: -86.0 (0.01), AVG Score: -102.44
Save 189 - Episode 1209/1400, Score: -104.0 (0.01), AVG Score: -102.41
Save 190 - Episode 1210/1400, Score: -101.0 (0.01), AVG Score: -102.57
Save 191 - Episode 1211/1400, Score: -105.0 (0.01), AVG Score: -102.51
Save 192 - Episode 1212/1400, Score: -87.0 (0.01), AVG Score: -102.29
Save 193 - Episode 1215/1400, Score: -106.0 (0.01), AVG Score: -102.43
Save 194 - Episode 1216/1400, Score: -105.0 (0.01), AVG Score: -102.4
Save 195 - Episode 1219/1400, Score: -107.0 (0.01), AVG Score: -102.72
Save 196 - Episode 1222/1400, Score: -108.0 (0.01), AVG Score: -102.49
Save 197 - Episode 1223/1400, Score: -104.0 (0.01), AVG Score: -102.45
Save 198 - Episode 1224/1400, Score: -104.0 (0.01), AVG Score: -102.43
Save 199 - Episode 1225/1400, Score: -106.0 (0.01), AVG Score: -102.57
Save 200 - Episode 1226/1400, Score: -103.0 (0.01), AVG Score: -102.13
Save 201 - Episode 1227/1400, Score: -87.0 (0.01), AVG Score: -101.96
Save 202 - Episode 1228/1400, Score: -87.0 (0.01), AVG Score: -101.72
Save 203 - Episode 1229/1400, Score: -100.0 (0.01), AVG Score: -101.64
Save 204 - Episode 1230/1400, Score: -84.0 (0.01), AVG Score: -101.34
Save 205 - Episode 1231/1400, Score: -108.0 (0.01), AVG Score: -101.28
Save 206 - Episode 1232/1400, Score: -103.0 (0.01), AVG Score: -101.21
Save 207 - Episode 1233/1400, Score: -107.0 (0.01), AVG Score: -101.15
Save 208 - Episode 1234/1400, Score: -106.0 (0.01), AVG Score: -101.09
Save 209 - Episode 1235/1400, Score: -97.0 (0.01), AVG Score: -101.01
Save 210 - Episode 1236/1400, Score: -105.0 (0.01), AVG Score: -101.0
