Save 164 - Episode 1102/1250, Score: -107.0 (0.01), AVG Score: -104.27
Save 165 - Episode 1104/1250, Score: -107.0 (0.01), AVG Score: -104.54
Save 166 - Episode 1107/1250, Score: -100.0 (0.01), AVG Score: -104.6
Save 167 - Episode 1109/1250, Score: -104.0 (0.01), AVG Score: -104.52
Save 168 - Episode 1111/1250, Score: -107.0 (0.01), AVG Score: -104.63
Save 169 - Episode 1113/1250, Score: -103.0 (0.01), AVG Score: -104.76
Save 170 - Episode 1115/1250, Score: -103.0 (0.01), AVG Score: -104.76
Save 171 - Episode 1117/1250, Score: -103.0 (0.01), AVG Score: -104.73
Save 172 - Episode 1120/1250, Score: -83.0 (0.01), AVG Score: -104.55
Save 173 - Episode 1122/1250, Score: -84.0 (0.01), AVG Score: -104.39
Save 174 - Episode 1124/1250, Score: -108.0 (0.01), AVG Score: -104.69
Save 175 - Episode 1125/1250, Score: -105.0 (0.01), AVG Score: -104.65
Save 176 - Episode 1126/1250, Score: -104.0 (0.01), AVG Score: -104.63
Save 177 - Episode 1128/1250, Score: -105.0 (0.01), AVG Score: -104.61
Save 178 - Episode 1129/1250, Score: -87.0 (0.01), AVG Score: -104.43
Save 179 - Episode 1130/1250, Score: -89.0 (0.01), AVG Score: -104.48
Save 180 - Episode 1132/1250, Score: -105.0 (0.01), AVG Score: -104.54
Save 181 - Episode 1133/1250, Score: -107.0 (0.01), AVG Score: -104.61
Save 182 - Episode 1134/1250, Score: -108.0 (0.01), AVG Score: -104.61
Save 183 - Episode 1135/1250, Score: -105.0 (0.01), AVG Score: -104.79
Save 184 - Episode 1138/1250, Score: -108.0 (0.01), AVG Score: -104.97
Save 185 - Episode 1140/1250, Score: -91.0 (0.01), AVG Score: -104.78
Save 186 - Episode 1141/1250, Score: -106.0 (0.01), AVG Score: -104.98
Save 187 - Episode 1142/1250, Score: -104.0 (0.01), AVG Score: -104.92
Save 188 - Episode 1144/1250, Score: -94.0 (0.01), AVG Score: -104.72
Save 189 - Episode 1146/1250, Score: -87.0 (0.01), AVG Score: -104.64
Save 190 - Episode 1147/1250, Score: -97.0 (0.01), AVG Score: -104.54
Save 191 - Episode 1148/1250, Score: -85.0 (0.01), AVG Score: -104.28
